"","expedition_id","peak_id","peak_name","year","season","basecamp_date","highpoint_date","termination_date","termination_reason","highpoint_metres","members","member_deaths","hired_staff","hired_staff_deaths","trekking_agency","climb_success","death_on_exp","height_metres"
"1784","MAKA81401","MAKA","Makalu",1981,"Winter",1981-11-30,1981-12-22,1981-12-28,"Illness, AMS, exhaustion, or frostbite",7315,6,0,0,0,NA,0,0,8485
"1785","MAKA81402","MAKA","Makalu",1981,"Winter",1981-12-31,1982-01-12,1982-01-31,"Bad weather (storms, high winds)",7000,1,0,0,0,NA,0,0,8485
"1786","TILI81401","TILI","Tilicho",1981,"Winter",1982-01-17,1982-01-24,1982-01-27,"Success (main peak)",7134,3,0,0,0,NA,1,0,7134
"1787","GAUR81301","GAUR","Gaurishankar",1981,"Autumn",1981-09-25,1981-10-21,NA,"Route technically too difficult, lack of experience, strength, or motivation",6300,5,0,0,0,NA,0,0,7135
"1788","NUPT81302","NUPT","Nuptse",1981,"Autumn",1981-09-26,1981-10-10,NA,"Bad weather (storms, high winds)",6700,4,0,0,0,NA,0,0,7864
"1789","ANN381301","ANN3","Annapurna III",1981,"Autumn",1981-09-26,1981-10-18,1981-10-21,"Route technically too difficult, lack of experience, strength, or motivation",6700,3,0,0,0,NA,0,0,7555
"1790","CHAM81301","CHAM","Chamlang",1981,"Autumn",1981-09-13,1981-09-26,1981-10-03,"Success (claimed)",7050,7,0,2,0,NA,1,0,7321
"1791","GLAC81301","GLAC","Glacier Dome",1981,"Autumn",1981-10-12,1981-10-18,NA,"Route technically too difficult, lack of experience, strength, or motivation",5800,16,0,4,0,NA,0,0,7168
"1792","AMAD81301","AMAD","Ama Dablam",1981,"Autumn",1981-09-14,1981-10-05,1981-10-15,"Success (main peak)",6814,9,0,0,0,NA,1,0,6814
"1793","EVER81302","EVER","Everest",1981,"Autumn",1981-09-13,1981-10-05,1981-10-12,"Bad weather (storms, high winds)",7770,2,0,2,0,NA,0,0,8850
"1794","NUPT81301","NUPT","Nuptse",1981,"Autumn",1981-09-05,1981-09-28,NA,"Lack (or loss) of supplies or equipment",6400,7,0,2,0,NA,0,0,7864
"1795","KANG81301","KANG","Kangchenjunga",1981,"Autumn",1981-09-12,1981-10-15,1981-10-21,"Success (main peak)",8586,6,1,2,0,NA,1,1,8586
"1796","ANN181302","ANN1","Annapurna I",1981,"Autumn",1981-09-01,1981-09-26,NA,"Accident (death or serious injury)",7400,9,2,4,2,NA,0,1,8091
"1797","MANA81301","MANA","Manaslu",1981,"Autumn",1981-09-04,1981-10-07,1981-10-14,"Success (main peak)",8163,4,0,2,0,NA,1,0,8163
"1798","NILN81301","NILN","Nilgiri North",1981,"Autumn",1981-10-11,1981-10-23,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5900,7,0,0,0,NA,0,0,7061
"1799","DHAM81301","DHAM","Dhampus",1981,"Autumn",1981-10-25,1981-10-26,NA,"Success (main peak)",6012,16,0,0,0,NA,1,0,6012
"1800","NUMB81301","NUMB","Numbur",1981,"Autumn",1981-10-02,1981-10-14,NA,"Success (main peak)",6958,10,0,1,0,NA,1,0,6958
"1801","DHA181302","DHA1","Dhaulagiri I",1981,"Autumn",1981-09-26,1981-10-23,NA,"Bad weather (storms, high winds)",8000,6,0,0,0,NA,0,0,8167
"1802","ANNS81301","ANNS","Annapurna South",1981,"Autumn",1981-09-17,1981-10-25,1981-11-01,"Success (main peak)",7219,5,0,7,0,NA,1,0,7219
"1803","APIM81301","APIM","Api Main",1981,"Autumn",1981-10-14,1981-10-28,1981-11-10,"Bad weather (storms, high winds)",6700,8,0,0,0,NA,0,0,7132
"1804","MAKA81301","MAKA","Makalu",1981,"Autumn",1981-09-01,1981-10-15,1981-10-17,"Success (main peak)",8485,3,0,0,0,NA,1,0,8485
"1805","GAN281302","GAN2","Ganesh II",1981,"Autumn",1981-09-19,1981-10-16,NA,"Success (main peak)",7118,2,0,3,0,NA,1,0,7118
"1806","LSHR81301","LSHR","Lhotse Shar",1981,"Autumn",1981-09-15,1981-10-16,1981-10-24,"Success (main peak)",8382,15,3,5,0,NA,1,1,8382
"1807","EVER81301","EVER","Everest",1981,"Autumn",1981-08-30,1981-10-21,1981-10-31,"Success (main peak)",8850,21,0,5,0,"Mountain Travel",1,0,8850
"1808","DHA181301","DHA1","Dhaulagiri I",1981,"Autumn",1981-09-11,1981-09-26,1981-10-10,"Bad weather (storms, high winds)",6900,9,0,4,0,NA,0,0,8167
"1809","MAKA81302","MAKA","Makalu",1981,"Autumn",1981-09-10,1981-09-23,1981-10-20,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,9,0,6,0,NA,0,0,8485
